"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,133,"MKD","Macedonia",1,"Štip","MK.ST",NA,"","Opština","Municipality","","Ishtip|Istib ete"
2,133,"MKD","Macedonia",2,"Šuto Orizari","MK.SO",NA,"","Opština","Municipality","","Šutka| Shutka"
3,133,"MKD","Macedonia",3,"Želino","MK.ZE",NA,"","Opština","Municipality","",""
4,133,"MKD","Macedonia",4,"Aerodrom","MK.AD",NA,"","Opština","Municipality","",""
5,133,"MKD","Macedonia",5,"Caška","MK.CA",NA,"","Opština","Municipality","","Caska"
6,133,"MKD","Macedonia",6,"Cair","MK.CI",NA,"","Opština","Municipality","",""
7,133,"MKD","Macedonia",7,"Cešinovo-Obleševo","MK.CH",NA,"","Opština","Municipality","",""
8,133,"MKD","Macedonia",8,"Cucer Sandevo","MK.CS",NA,"","Opština","Municipality","","Cucer Sandevo"
9,133,"MKD","Macedonia",9,"Aracinovo","MK.AR",NA,"","Opština","Municipality","",""
10,133,"MKD","Macedonia",10,"Berovo","MK.BR",NA,"","Opština","Municipality","",""
11,133,"MKD","Macedonia",11,"Bitola","MK.TL",NA,"","Opština","Municipality","","Bitolia|Monastir"
12,133,"MKD","Macedonia",12,"Bogdanci","MK.BG",NA,"","Opština","Municipality","",""
13,133,"MKD","Macedonia",13,"Bogovinje","MK.VJ",NA,"","Opština","Municipality","",""
14,133,"MKD","Macedonia",14,"Bosilovo","MK.BS",NA,"","Opština","Municipality","",""
15,133,"MKD","Macedonia",15,"Brvenica","MK.BN",NA,"","Opština","Municipality","",""
16,133,"MKD","Macedonia",16,"Butel","MK.BU",NA,"","Opština","Municipality","",""
17,133,"MKD","Macedonia",17,"Centar župa","MK.CZ",NA,"","Opština","Municipality","","Centar Zupa"
18,133,"MKD","Macedonia",18,"Centar","MK.CE",NA,"","Opština","Municipality","",""
19,133,"MKD","Macedonia",19,"Debarca","MK.DA",NA,"","Opština","Municipality","","Debartsa"
20,133,"MKD","Macedonia",20,"Debar","MK.DB",NA,"","Opština","Municipality","",""
21,133,"MKD","Macedonia",21,"Delcevo","MK.DL",NA,"","Opština","Municipality","","Delcevo"
22,133,"MKD","Macedonia",22,"Demir Hisar","MK.DM",NA,"","Opština","Municipality","","Murgaševo"
23,133,"MKD","Macedonia",23,"Demir Kapija","MK.DK",NA,"","Opština","Municipality","",""
24,133,"MKD","Macedonia",24,"Dolneni","MK.DE",NA,"","Opština","Municipality","",""
25,133,"MKD","Macedonia",25,"Drugovo","MK.DR",NA,"","Opština","Municipality","",""
26,133,"MKD","Macedonia",26,"Gazi Baba","MK.GB",NA,"","Opština","Municipality","",""
27,133,"MKD","Macedonia",27,"Gevgelija","MK.GV",NA,"","Opština","Municipality","","Djevdjelija"
28,133,"MKD","Macedonia",28,"Gjorce Petrov","MK.GP",NA,"","Opština","Municipality","","Gjorce Petrov"
29,133,"MKD","Macedonia",29,"Gostivar","MK.GT",NA,"","Opština","Municipality","","Kostovo"
30,133,"MKD","Macedonia",30,"Gradsko","MK.GR",NA,"","Opština","Municipality","",""
31,133,"MKD","Macedonia",31,"Ilinden","MK.IL",NA,"","Opština","Municipality","",""
32,133,"MKD","Macedonia",32,"Jegunovtse","MK.JG",NA,"","Opština","Municipality","",""
33,133,"MKD","Macedonia",33,"Karbinci","MK.KB",NA,"","Opština","Municipality","",""
34,133,"MKD","Macedonia",34,"Karpoš","MK.KX",NA,"","Opština","Municipality","",""
35,133,"MKD","Macedonia",35,"Kavadartsi","MK.AV",NA,"","Opština","Municipality","",""
36,133,"MKD","Macedonia",36,"Kicevo","MK.KH",NA,"","Opština","Municipality","","Kicevo"
37,133,"MKD","Macedonia",37,"Kisela Voda","MK.VD",NA,"","Opština","Municipality","",""
38,133,"MKD","Macedonia",38,"Kocani","MK.OC",NA,"","Opština","Municipality","","Kocani"
39,133,"MKD","Macedonia",39,"Konce","MK.KN",NA,"","Opština","Municipality","","Konce"
40,133,"MKD","Macedonia",40,"Kratovo","MK.KY",NA,"","Opština","Municipality","",""
41,133,"MKD","Macedonia",41,"Kriva Palanka","MK.KZ",NA,"","Opština","Municipality","",""
42,133,"MKD","Macedonia",42,"Krivogaštani","MK.KG",NA,"","Opština","Municipality","",""
43,133,"MKD","Macedonia",43,"Kruševo","MK.KS",NA,"","Opština","Municipality","",""
44,133,"MKD","Macedonia",44,"Kumanovo","MK.UM",NA,"","Opština","Municipality","",""
45,133,"MKD","Macedonia",45,"Lake Ohrid","",NA,"","Water body","Water body","",""
46,133,"MKD","Macedonia",46,"Lipkovo","MK.LI",NA,"","Opština","Municipality","",""
47,133,"MKD","Macedonia",47,"Lozovo","MK.LO",NA,"","Opština","Municipality","",""
48,133,"MKD","Macedonia",48,"Makedonska Kamenica","MK.MK",NA,"","Opština","Municipality","",""
49,133,"MKD","Macedonia",49,"Makedonski Brod","MK.MD",NA,"","Opština","Municipality","","Makedonska Brod"
50,133,"MKD","Macedonia",50,"Mavrovo and Rostuša","MK.MR",NA,"","Opština","Municipality","","Mavrovo and Rostusa"
51,133,"MKD","Macedonia",51,"Mogila","MK.MG",NA,"","Opština","Municipality","",""
52,133,"MKD","Macedonia",52,"Negotino","MK.NG",NA,"","Opština","Municipality","",""
53,133,"MKD","Macedonia",53,"Novatsi","MK.NV",NA,"","Opština","Municipality","",""
54,133,"MKD","Macedonia",54,"Novo Selo","MK.NS",NA,"","Opština","Municipality","",""
55,133,"MKD","Macedonia",55,"Ohrid","MK.OD",NA,"","Opština","Municipality","","Ochrida|Okhrida"
56,133,"MKD","Macedonia",56,"Oslomej","MK.OS",NA,"","Opština","Municipality","",""
57,133,"MKD","Macedonia",57,"Pehcevo","MK.PH",NA,"","Opština","Municipality","","Phecevo"
58,133,"MKD","Macedonia",58,"Petrovec","MK.PE",NA,"","Opština","Municipality","",""
59,133,"MKD","Macedonia",59,"Plasnica","MK.PN",NA,"","Opština","Municipality","",""
